word,label,x,y
nooblim,0,-18.2011464949,-1.3561053344
elementaarsem,0,-44.66373642510001,2.0812452361
efektiivsem,0,-2.5091108127,3.9762859943
eelistatavam,0,19.4685956016,-3.197820097
argisem,0,2.524478244,7.2660857473
resultatiivsem,0,-14.4301537643,0.0797496328
maitsekam,0,2.5479260531,-2.6050999056
enesekindlam,0,40.7357347483,12.1005666605
silmatorkavam,0,-36.9279246606,-0.9902986063
õhem,0,17.0010758216,-3.2554892333
kriminaalsem,0,-2.6328220557,-3.5028964619
fantaasiarikkam,0,-13.5457065022,-2.0397853223
mõjuvõimsam,0,-29.132466350399998,-1.5037551066
ärksam,0,11.2671609169,6.6795078029
iseenesestmõistetavam,0,-19.0836962081,-1.411912532
ebaeetilisem,0,9.1725395305,9.3611307444
raudsem,0,3.4974794146,-5.4107117547
totram,0,-20.7594698308,-5.875214027
levinum,0,-37.355393207199995,0.6423158943
hallipäisem,0,56.4710268782,-27.9646486947
ümmargusem,0,44.8746628065,-1.3777925149
hoiatavam,0,-6.8372514217,-2.7214694452
